year,year_start,icd_chapter,fce,admissions,emergency,waiting_list,planned,male,female,emergency_ratio
2020-21,2020,Ch.VI  Nervous system,369134.0,286586.0,125761.0,82776.0,74720.0,166456.0,202195.0,0.4388
2020-21,2020,Ch.VII/VIII  Eye & Ear,503745.0,491491.0,47761.0,348091.0,95156.0,228640.0,275057.0,0.0972
2020-21,2020,Ch.X  Respiratory system,884479.0,500108.0,413473.0,61635.0,20794.0,450877.0,429918.0,0.8268
2020-21,2020,Ch.XI  Digestive system,1934974.0,1592732.0,538048.0,856065.0,194302.0,957220.0,977474.0,0.3378
2020-21,2020,Ch.XII  Skin,326096.0,254892.0,151583.0,83889.0,18003.0,167575.0,158468.0,0.5947
2020-21,2020,Ch.XIII  Musculoskeletal,790065.0,691740.0,260253.0,326140.0,101233.0,318764.0,471115.0,0.3762
2020-21,2020,Ch.XIV  Genitourinary,862235.0,644199.0,351007.0,242409.0,45858.0,394622.0,467520.0,0.5449
2020-21,2020,Ch.XIX  Injury & poisoning,17308806.0,13685146.0,6174101.0,3939413.0,1823829.0,7867443.0,9411229.0,0.4512
2020-21,2020,Ch.XV  Pregnancy & childbirth,1134906.0,1097339.0,124246.0,45195.0,16976.0,44.0,1134817.0,0.1132
2020-21,2020,Ch.XVI  Perinatal,265523.0,228452.0,45511.0,2353.0,2402.0,145653.0,119732.0,0.1992
2020-21,2020,Ch.XVII  Congenital,76482.0,65496.0,10089.0,33685.0,10592.0,43296.0,31362.0,0.154
2020-21,2020,Ch.XVIII  Symptoms & signs,1851901.0,1517298.0,1094609.0,299133.0,61636.0,829643.0,1013769.0,0.7214
2020-21,2020,Ch.XXI  Health status factors,775675.0,751639.0,44301.0,137074.0,87400.0,342474.0,432620.0,0.0589
2020-21,2020,Other,578074.0,253696.0,245525.0,1102.0,1179.0,323728.0,253765.0,0.9678
2021-22,2021,Ch.I  Infectious & parasitic,598457.0,383769.0,335182.0,37791.0,8254.0,308294.0,290100.0,0.8734
2021-22,2021,Ch.II  Neoplasms,2755517.0,2530900.0,242496.0,1176888.0,1105121.0,1332413.0,1422671.0,0.0958
2021-22,2021,Ch.IV  Endocrine & metabolic,457532.0,334016.0,161308.0,82574.0,88154.0,227588.0,229889.0,0.4829
2021-22,2021,Ch.IX  Circulatory system,1533547.0,936556.0,619283.0,241364.0,40317.0,878393.0,655027.0,0.6612
2021-22,2021,Ch.V  Mental & behavioural,267169.0,154412.0,133654.0,8743.0,8130.0,135531.0,131390.0,0.8656
2021-22,2021,Ch.VI  Nervous system,453502.0,361465.0,137572.0,128377.0,91824.0,201958.0,251485.0,0.3806
2021-22,2021,Ch.VII/VIII  Eye & Ear,849980.0,831903.0,59629.0,632200.0,139458.0,377371.0,472540.0,0.0717
2021-22,2021,Ch.X  Respiratory system,1325430.0,809087.0,670901.0,104511.0,27936.0,660350.0,664978.0,0.8292
2021-22,2021,Ch.XI  Digestive system,2518719.0,2138229.0,587214.0,1281687.0,264739.0,1240646.0,1277779.0,0.2746
2021-22,2021,Ch.XII  Skin,409519.0,326935.0,177999.0,126609.0,20777.0,210078.0,199388.0,0.5444
2021-22,2021,Ch.XIII  Musculoskeletal,1178139.0,1063285.0,306329.0,613703.0,138738.0,478867.0,699149.0,0.2881
2021-22,2021,Ch.XIV  Genitourinary,1059487.0,823114.0,391019.0,362993.0,63813.0,484693.0,574671.0,0.475
2021-22,2021,Ch.XIX  Injury & poisoning,20892457.0,16950013.0,6976974.0,5809512.0,2310547.0,9496731.0,11386345.0,0.4116
2021-22,2021,Ch.XV  Pregnancy & childbirth,1226516.0,1184162.0,138093.0,58169.0,18373.0,31.0,1226436.0,0.1166
2021-22,2021,Ch.XVI  Perinatal,275458.0,235864.0,50304.0,3222.0,2378.0,150658.0,124662.0,0.2133
2021-22,2021,Ch.XVII  Congenital,99766.0,88199.0,10463.0,51955.0,14128.0,58259.0,41462.0,0.1186
2021-22,2021,Ch.XVIII  Symptoms & signs,2155173.0,1780388.0,1235743.0,399060.0,78080.0,961015.0,1187461.0,0.6941
2021-22,2021,Ch.XXI  Health status factors,900479.0,875033.0,50092.0,194146.0,119006.0,398735.0,501649.0,0.0572
2021-22,2021,Other,295841.0,151650.0,137027.0,5952.0,3037.0,157657.0,138156.0,0.9036
2022-23,2022,Ch.I  Infectious & parasitic,610489.0,389149.0,335443.0,42259.0,8727.0,310906.0,299503.0,0.862
2022-23,2022,Ch.II  Neoplasms,2881964.0,2662671.0,239937.0,1267978.0,1147686.0,1387136.0,1494347.0,0.0901
